"records__id","records__createdTime","records__fields__Fundraising Round","records__fields__Date","records__fields__Amount","records__fields__Announcement ","records__fields__Stage","records__fields__Investors__001","records__fields__Investors__002","records__fields__Investors__003","records__fields__Investors__004","records__fields__Investors__005","records__fields__Investors__006","records__fields__Investors__007","records__fields__Investors__008","records__fields__Investors__009","records__fields__Investors__010","records__fields__Investors__011","records__fields__Investors__012","records__fields__Investors__013","records__fields__Investors__014","records__fields__Investors__015","records__fields__Company__-","records__fields__Type (Stage)","records__fields__Source__label","records__fields__Source__url","records__fields__Category__-","records__fields__Sector__-","records__fields__Sector (from Company)__-","records__fields__Category (from Company)__-","offset"
"rec04r1reIpUbqhiE","2025-03-05T21:45:50.000Z","Chaos – Series A","2023-03-06","70000000","https://news.crunchbase.com/venture/chaos-industries-defense-tech-anduril/","Early Stage Venture","reccTnWWnqOapE9LG","recXlJKIN5PYEvadR","recKtA3iQrTCJdB0V","recp1nxVLWk7LfBKN","recgtW9zIDbUCriL2","recjWw7CqJaOr3CYY","","","","","","","","","","recp83xjDN2QdAdOX","Series A","↗","https://news.crunchbase.com/venture/chaos-industries-defense-tech-anduril/","recpyzqQCE1YWMU9O","rec4xxrjaPbNq6f1u","rec4xxrjaPbNq6f1u","recpyzqQCE1YWMU9O","itrbFocO8Va713O08/recTyD73gBYFPrDh1"
"rec06dnM6h2EciosK","2025-03-17T18:06:04.000Z","Firefly – Series A","2021-05-05","75000000","https://fireflyspace.com/news/firefly-completes-oversubscribed-75m-series-a-and-100m-secondary-transaction/","Early Stage Venture","reco7VNPrZYO1r1QD","recwijxmp05pYjvW1","recDpAiJ93zB3b7MY","recyxNtLCLHdEPfrF","recW3zLv4W4BpFH6j","recw0rKFPdmP6pQzD","recYyIbh80b8bf1Si","","","","","","","","","recrPuPcemcmCbl8E","Series A","↗","https://fireflyspace.com/news/firefly-completes-oversubscribed-75m-series-a-and-100m-secondary-transaction/","recVXgbGCCmryjUeM","recysV1dDK9D0NT31","recysV1dDK9D0NT31","recVXgbGCCmryjUeM",""
"rec0EAE8lEtOHpygm","2025-03-06T18:59:06.000Z","Saildrone – Series C","2021-10-18","100000000","https://www.saildrone.com/news/saildrone-advance-ocean-intelligence-series-c-funding","Late Stage Venture","recq4T5OhIcISvILa","recOt0vyMZHtkOvss","recR8QQg3MeqzyYAC","recb3q5YXnZBcCP9b","recanTQSGmjLrAs51","recgwY9lunJDGn48A","rec2GHl3NumqPAuBC","recHNJd0IOOsHEYkO","recFSO59Czwz78aLf","","","","","","","recF7mne6kDRuUXoD","Series C","↗","https://www.saildrone.com/news/saildrone-advance-ocean-intelligence-series-c-funding","reck9rb9NUDRVYQm5","recApW4w70x92IwWB","recApW4w70x92IwWB","reck9rb9NUDRVYQm5",""
"rec0H2N05l8QI7Ktw","2025-03-06T18:59:10.000Z","Saildrone – Series A","2016-09-05","14000000","https://www.prnewswire.com/news-releases/saildrone-inc-raises-14-million-in-series-a-funding-to-expand-its-fleet-of-sailing-drones-and-ocean-data-services-300322444.html","Early Stage Venture","","","","","","","","","","","","","","","","recF7mne6kDRuUXoD","Series A","↗","https://www.prnewswire.com/news-releases/saildrone-inc-raises-14-million-in-series-a-funding-to-expand-its-fleet-of-sailing-drones-and-ocean-data-services-300322444.html","reck9rb9NUDRVYQm5","recApW4w70x92IwWB","recApW4w70x92IwWB","reck9rb9NUDRVYQm5",""
"rec0oTleWjLeyHEQi","2025-03-13T17:40:23.000Z","K2 Space – Series B","2025-02-13","110000000","https://www.prnewswire.com/news-releases/k2-space-announces-110m-series-b-and-first-successful-in-space-demonstration-302375955.html","Early Stage Venture","reckzI5lsxnGTU2Fy","recLsG7f7qqC8KxuU","recuTPxuINugi3JYz","recgf9yONRO0vP9n6","","","","","","","","","","","","recn8335qeKsipGcl","Series B","↗","https://www.prnewswire.com/news-releases/k2-space-announces-110m-series-b-and-first-successful-in-space-demonstration-302375955.html","recVXgbGCCmryjUeM","reczCf603xnzrW5w1","reczCf603xnzrW5w1","recVXgbGCCmryjUeM",""
"rec1d59Z1VKPAWYcL","2025-04-02T17:22:14.000Z","REGENT – Strategic","2022-02-04","18000000","https://www.regentcraft.com/news/regent-raises-18m-from-strategic-investors-to-accelerate-development-of-its-full-scale-12-passenger-prototype","Miscellaneous","recJCP3aR3YjKBp1g","receCvHpEj9SaTOfj","recK1rJWAKnphwj4a","reccmtkks8FX4IXp3","rec7cKrDkTjzuRIsG","","","","","","","","","","","recstc0yBh8guRP7o","Strategic","↗","https://www.regentcraft.com/news/regent-raises-18m-from-strategic-investors-to-accelerate-development-of-its-full-scale-12-passenger-prototype","reck9rb9NUDRVYQm5","recApW4w70x92IwWB","recApW4w70x92IwWB","reck9rb9NUDRVYQm5",""
"rec1mBThG8p9JIS22","2025-03-21T17:23:47.000Z","Re:Build – Undisclosed","2024-09-25","120000000","https://rebuildmanufacturing.com/news/general-catalyst-invests-in-rebuild-manufacturing/","Miscellaneous","recj33oP2ndWNbQyD","","","","","","","","","","","","","","","recrRib4PlIvcgTFf","Undisclosed","↗","https://rebuildmanufacturing.com/news/general-catalyst-invests-in-rebuild-manufacturing/","recLSNFkL4Mx5vIAj","recu1BZw3cCaj0pqj","recu1BZw3cCaj0pqj","recLSNFkL4Mx5vIAj",""
"rec2DkJXZ0F0AXGiD","2025-03-07T19:22:17.000Z","Saronic – Seed","2023-01-01","15000000","https://silentventures.medium.com/silent-ventures-backed-saronic-raises-55m-series-a-will-redefine-u-s-maritime-superiority-48fbf26f687b","Seed","recYfjBBxGdSwCQfL","recDtmxZfkMJF2pWx","reccTnWWnqOapE9LG","recZmfr98DI6XMvbN","reckzI5lsxnGTU2Fy","recYvSoNgbossvLlR","reckWQTR7sV9Vx1pT","recqgTCGaKR9qtd56","","","","","","","","rec0Yyo4zatqEJdTj","Seed","↗","https://silentventures.medium.com/silent-ventures-backed-saronic-raises-55m-series-a-will-redefine-u-s-maritime-superiority-48fbf26f687b","reck9rb9NUDRVYQm5","recApW4w70x92IwWB","recApW4w70x92IwWB","reck9rb9NUDRVYQm5",""
"rec2FdEdIQ2IEeOWQ","2025-03-07T20:55:03.000Z","Hadrian – Seed","2021-04-01","9500000","https://techcrunch.com/2021/04/15/hadrian-is-building-the-factories-of-the-future-for-rocket-ships-and-advanced-manufacturing/","Seed","recgwY9lunJDGn48A","recGzauRoov9AeqdU","recRLcDhGM37OeJ24","","","","","","","","","","","","","recmsqSpKGoxBCmug","Seed","↗","https://techcrunch.com/2021/04/15/hadrian-is-building-the-factories-of-the-future-for-rocket-ships-and-advanced-manufacturing/","recLSNFkL4Mx5vIAj","recu1BZw3cCaj0pqj","recu1BZw3cCaj0pqj","recLSNFkL4Mx5vIAj",""
"rec2GZrMaErT323ZV","2025-03-05T22:33:58.000Z","Deterrence – Seed","2024-12-12","10100000","https://www.prweb.com/releases/deterrence-secures-10-1m-in-funding-to-automate-energetics-production-302329902.html","Seed","recAhunz2xPdJmlZ2","recfOC4ducahp66Uw","reco1iUOqbpAXvqbe","recNBsGFtuUw3K9fX","rec1UtKHHEDoigTaJ","recXbfry8QNR6O0RG","","","","","","","","","","reclRRHg5fIY6Pdmq","Seed","↗","https://www.prweb.com/releases/deterrence-secures-10-1m-in-funding-to-automate-energetics-production-302329902.html","recnikZjj0rLnQKC5","rec35pUeOAkQ2V4Db","rec35pUeOAkQ2V4Db","recnikZjj0rLnQKC5",""
"rec2bSpdXuahwg6EP","2025-03-19T00:42:38.000Z","Applied Intuition – Series B","2019-09-12","40000000","https://www.appliedintuition.com/news/series-b-announcement","Early Stage Venture","recj33oP2ndWNbQyD","rechmqBHCC5FNalTY","recZmfr98DI6XMvbN","recgwY9lunJDGn48A","recPVmZ2OIaaP4ASn","recLKqzurXUfxEKFE","recrNUyavIRkN0Mmv","reciPvXpvOOwZ5Upc","","","","","","","","recUYFBRH0jKtbVbs","Series B","↗","https://www.appliedintuition.com/news/series-b-announcement","recuShUrIV9xrXGLE","reciu5ST3fEX65k4T","reciu5ST3fEX65k4T","recuShUrIV9xrXGLE",""
"rec2nHBG5uiWXkZKw","2025-03-19T20:14:43.000Z","Impulse Space – Strategic","2022-06-16","10000000","https://www.impulsespace.com/updates/impulse-space-secures-dollar10m-from-lux-capital-rounding-out-recent-funding-to-dollar30m","Miscellaneous","recgwY9lunJDGn48A","","","","","","","","","","","","","","","rec1N9LDpw5Qub0QG","Strategic","↗","https://www.impulsespace.com/updates/impulse-space-secures-dollar10m-from-lux-capital-rounding-out-recent-funding-to-dollar30m","recVXgbGCCmryjUeM","recysV1dDK9D0NT31","recysV1dDK9D0NT31","recVXgbGCCmryjUeM",""
"rec2rZm4umQ1Qk9jt","2025-03-13T18:38:45.000Z","Zeno Power – Series A","2022-04-28","20000000","https://www.pallasadvisors.com/post/pallas-ventures-invests-in-zeno-power-series-a","Early Stage Venture","recHNJd0IOOsHEYkO","rec3baywzI7MGPZWV","recI2OZMYPxqbI66I","rechF2rsM7x5iljK9","recEjFuv60xhcXrcy","","","","","","","","","","","rec7ctqsgZmdWv7O0","Series A","↗","https://www.pallasadvisors.com/post/pallas-ventures-invests-in-zeno-power-series-a","recLSNFkL4Mx5vIAj","recBVwAAKQNNINAAv","recBVwAAKQNNINAAv","recLSNFkL4Mx5vIAj",""
"rec34RPKnu60sls3b","2025-03-19T18:57:34.000Z","Auterion – Undisclosed","2018-11-04","10000000","https://venturebeat.com/entrepreneur/auterion-raises-10-million-for-open-source-drone-operating-system/","Miscellaneous","recqaoHuP09vZ6jav","recNORIqo85bf7gzo","rechHxChHYTivG4sK","recQD7fcZzFMXnxQK","","","","","","","","","","","","rec7Cn1n5H9WBv9s6","Undisclosed","↗","https://venturebeat.com/entrepreneur/auterion-raises-10-million-for-open-source-drone-operating-system/","recuShUrIV9xrXGLE","reciu5ST3fEX65k4T","reciu5ST3fEX65k4T","recuShUrIV9xrXGLE",""
"rec39u9n3xdQtzCUW","2025-03-05T19:43:25.000Z","ACUA Ocean – Pre-Seed","2024-12-11","1900000","https://www.oceansciencetechnology.com/news/acua-ocean-receives-backing-to-develop-hydrogen-powered-usv/","Seed","recU1kJjPTI2KVbXl","recjdudMnjcoCE23e","recvDkZsuDtsEVzmE","recZAIYZgOwanJcTF","","","","","","","","","","","","recywWFSpc4xuUUMD","Pre-Seed","↗","https://www.oceansciencetechnology.com/news/acua-ocean-receives-backing-to-develop-hydrogen-powered-usv/","reck9rb9NUDRVYQm5","recApW4w70x92IwWB","recApW4w70x92IwWB","reck9rb9NUDRVYQm5",""
"rec3BrHl7MTYBZU2c","2025-03-18T17:27:19.000Z","Dedrone – Extension","2022-07-13","30000000","https://www.dedrone.com/press/dedrone-closes-30-million-series-c-1-financing","Late Stage Venture","recRAQy7trFmyjgkC","recli3NfBG996nCPm","recSrPavmBMzxSIak","recA32JYdAu3ugTz5","recySm4bmq9jGPbr1","","","","","","","","","","","recDZqZNW3zDaxye0","Extension","↗","https://www.dedrone.com/press/dedrone-closes-30-million-series-c-1-financing","recpyzqQCE1YWMU9O","recs326vFiukl29xA","recs326vFiukl29xA","recpyzqQCE1YWMU9O",""
"rec3WvOkmtnlNq180","2025-03-04T21:37:41.000Z","Second Front Systems – Series C","2024-09-16","70000000","https://www.secondfront.com/resources/blog/series-c-ceo-announcement/","Late Stage Venture","receAb3dnxEMB5EUL","rec7tncubRBbuZ3gO","recqREElYbfQ6wN7w","rec8ZrgQcLvBJ25jb","recnATolEFSwLNKaF","","","","","","","","","","","rec02fPErV66Stuoo","Series C","↗","https://www.secondfront.com/resources/blog/series-c-ceo-announcement/","recuShUrIV9xrXGLE","reciu5ST3fEX65k4T","reciu5ST3fEX65k4T","recuShUrIV9xrXGLE",""
"rec3X27I40ye4jz4K","2025-03-19T20:06:16.000Z","Gecko Robotics – Series B","2019-12-16","40000000","https://www.prnewswire.com/news-releases/y-combinator-alum-gecko-robotics-raises-40-million-series-b-round-led-by-drive-capital-supporting-rapid-growth-in-industrial-inspection-robotics-300975388.html","Early Stage Venture","recNgUXoULoaH7lOa","recGzauRoov9AeqdU","rec8dqiHHKWUDQLuZ","recQdCLeypE3fHJP0","recH3k2G6pXulx6x4","recU2enlQj75rCATY","recFw8CcXX7MGHGcH","rec2dnEXUNHS9aunp","recs59UPyOgoCwFon","recFXKojumer6NVqS","","","","","","recFW58gHq4EqB5GX","Series B","↗","https://www.prnewswire.com/news-releases/y-combinator-alum-gecko-robotics-raises-40-million-series-b-round-led-by-drive-capital-supporting-rapid-growth-in-industrial-inspection-robotics-300975388.html","recLSNFkL4Mx5vIAj","recLUAIJ8W4jUAoHX","recLUAIJ8W4jUAoHX","recLSNFkL4Mx5vIAj",""
"rec3yrj6pqofZPtTP","2025-03-16T21:16:22.000Z","Ursa Major – Series D","2023-11-30","138000000","https://www.ursamajor.com/media/press-release/ursa-majors-dollar138m-boost-new-solid-rocket-motors-and-scaled-propulsion","Late Stage Venture","rec9FInCQJ1DO0Kkl","recZfF05TBLTFli8z","rechnturEBzk5jlLb","","","","","","","","","","","","","recstdDXVJk86xyOg","Series D","↗","https://www.ursamajor.com/media/press-release/ursa-majors-dollar138m-boost-new-solid-rocket-motors-and-scaled-propulsion","recnikZjj0rLnQKC5","recPEDmAtpBYSRyfG","recPEDmAtpBYSRyfG","recnikZjj0rLnQKC5",""
"rec4MminK8cNi5o6A","2025-03-20T15:59:07.000Z","Proteus Space – Seed","2025-03-18","6100000","https://spacenews.com/proteus-achieves-breakthrough-in-automated-high-fidelity-structural-design-signs-first-commercial-payload-customer-and-secures-oversubscribed-6-1m-seed-2-funding/","Seed","recWIjYHXZlanV3tC","reckCWm8LEtn694nW","recD4EWRX5iXDy74X","rec5E6yJZTEH6r5j7","recMvceahCqVrhgET","","","","","","","","","","","recdVzSjjvjwqslFg","Seed","↗","https://spacenews.com/proteus-achieves-breakthrough-in-automated-high-fidelity-structural-design-signs-first-commercial-payload-customer-and-secures-oversubscribed-6-1m-seed-2-funding/","recVXgbGCCmryjUeM","reczCf603xnzrW5w1","reczCf603xnzrW5w1","recVXgbGCCmryjUeM",""
"rec4bzsGu7FgLovOA","2025-03-06T20:02:28.000Z","Skydio – Seed","2015-01-15","3000000","https://cdixon.org/2015/01/15/skydio","Seed","recZmfr98DI6XMvbN","","","","","","","","","","","","","","","recN7l5hjhx4FJObv","Seed","↗","https://cdixon.org/2015/01/15/skydio","reck9rb9NUDRVYQm5","recxDRZMpAit2jx2p","recxDRZMpAit2jx2p","reck9rb9NUDRVYQm5",""
"rec4kUoujLTbvtaJ2","2025-03-07T19:46:56.000Z","Sphinx – Strategic","2024-11-18","0","https://www.block3.us/news-post","Miscellaneous","rec9EDpyynaquW9De","","","","","","","","","","","","","","","recPCzeraD5iFk2Ng","Strategic","↗","https://www.block3.us/news-post","recuShUrIV9xrXGLE","recVn88k2eVvGtlan","recVn88k2eVvGtlan","recuShUrIV9xrXGLE",""
"rec4nZPwKClyN8hqF","2025-04-02T16:58:41.000Z","Urban Sky – Series B","2025-02-06","30000000","https://www.urbansky.com/post/urban-sky-raises-30-million-in-series-b-funding-to-unlock-routine-and-easy-global-access-to-the-str","Early Stage Venture","recL1ddqH4s6oeAar","recXpA8N8gEApaMJG","recXyXoDM456Br4HV","recNWT5yfwLYwyZPP","recWIjYHXZlanV3tC","rec5BkE5au0FMCsW6","recVVChEWZM6LNSHh","recw2vOGco4crrPF6","recRr684KH7XtEssA","rechgxSeibnWiyWpL","","","","","","reczBvi7iDjPKPIrz","Series B","↗","https://www.urbansky.com/post/urban-sky-raises-30-million-in-series-b-funding-to-unlock-routine-and-easy-global-access-to-the-str","recVXgbGCCmryjUeM","reczCf603xnzrW5w1","reczCf603xnzrW5w1","recVXgbGCCmryjUeM",""
"rec5hoicQkMQD7u7k","2025-03-20T18:54:49.000Z","Capella Space – Series B","2018-09-26","19000000","https://www.capellaspace.com/press-releases/capella-space-closes-19m-series-b-to-deliver-reliable-earth-observation-data-on-demand","Early Stage Venture","rec0otaBHexlaRAAy","recI2OZMYPxqbI66I","rec6sK4QzGHPD1D1D","recwDvm5ipjwmKdO4","","","","","","","","","","","","recJuiJmQrkbGbm2q","Series B","↗","https://www.capellaspace.com/press-releases/capella-space-closes-19m-series-b-to-deliver-reliable-earth-observation-data-on-demand","recVXgbGCCmryjUeM","recbNSQvv1IdUAXMq","recbNSQvv1IdUAXMq","recVXgbGCCmryjUeM",""
"rec5nLDWhqfNjP0Tz","2025-04-02T16:42:48.000Z","Solideon – Pre-Seed","2024-07-17","5000000","https://www.accessnewswire.com/newsroom/en/industrial-and-manufacturing/solideon-oversubscribes-pre-seed-goals-advances-vision-for-future-manuf-889960","Seed","rec7jZlB9vhFJJUWJ","recEjFuv60xhcXrcy","recRxSf2instXhk68","recNrfEIB2t8cwddW","rec0jBsH2u8rOVN3B","recNAIjWnqf8EG4P1","rechF2rsM7x5iljK9","recmvRyKXx8MTqHyk","recqYXL77rzfLMGoa","recHyelIV9rwoAfVt","recdKfepCdTVWBfVr","recZragUGKyMeyReu","reclXJBNXHQhjJPxw","recs9Xgi0uo70dPdy","","recx080iW9wPAbS9v","Pre-Seed","↗","https://www.accessnewswire.com/newsroom/en/industrial-and-manufacturing/solideon-oversubscribes-pre-seed-goals-advances-vision-for-future-manuf-889960","recLSNFkL4Mx5vIAj","recu1BZw3cCaj0pqj","recu1BZw3cCaj0pqj","recLSNFkL4Mx5vIAj",""
"rec77t7E2X8KT9TUT","2025-03-13T19:40:59.000Z","Fortem Technologies – Undisclosed","2023-02-21","17800000","https://www.prnewswire.com/news-releases/fortem-technologies-closes-17-8m-in-funding-round-to-scale-airspace-safety-and-security-capabilities-301752008.html","Miscellaneous","recfYkDxwoHoj1XHV","rectWE9XQyccOmtwD","recwlTrJCUW8AUIZv","recI2OZMYPxqbI66I","rec1bzZjwmUtSF4Fc","","","","","","","","","","","recnzfeFnkfYWYCwY","Undisclosed","↗","https://www.prnewswire.com/news-releases/fortem-technologies-closes-17-8m-in-funding-round-to-scale-airspace-safety-and-security-capabilities-301752008.html","recpyzqQCE1YWMU9O","recs326vFiukl29xA","recs326vFiukl29xA","recpyzqQCE1YWMU9O",""
"rec7I5Q3m899dIXWv","2025-03-06T22:44:32.000Z","Mach Industries – Seed","2023-06-16","5700000","https://www.reuters.com/technology/sequoia-makes-first-defense-tech-investment-mach-industries-2023-06-15/","Seed","recaQYtCFRyQPukgZ","","","","","","","","","","","","","","","rechMtCVsas5dzXFK","Seed","↗","https://www.reuters.com/technology/sequoia-makes-first-defense-tech-investment-mach-industries-2023-06-15/","reck9rb9NUDRVYQm5","recxDRZMpAit2jx2p","recxDRZMpAit2jx2p","reck9rb9NUDRVYQm5",""
"rec7bHfbmUWksxtpI","2025-03-13T19:41:05.000Z","Fortem Technologies – Strategic","2024-11-13","10000000","https://fortemtech.com/press-releases/2024-11-13-lago-innovation-fund-facilitates-10mm-investment-in-fortem-technologies-to-support-demand-for-drone-defense-solutions/","Miscellaneous","recreYBu5XWYzRwXj","","","","","","","","","","","","","","","recnzfeFnkfYWYCwY","Strategic","↗","https://fortemtech.com/press-releases/2024-11-13-lago-innovation-fund-facilitates-10mm-investment-in-fortem-technologies-to-support-demand-for-drone-defense-solutions/","recpyzqQCE1YWMU9O","recs326vFiukl29xA","recs326vFiukl29xA","recpyzqQCE1YWMU9O",""
"rec88ylUqGHAdpJb2","2025-03-07T22:38:54.000Z","HawkEye 360 – Strategic","2022-01-06","5000000","https://www.he360.com/hawkeye-360-adds-leidos-as-investor-to-bring-series-d-round-to-150-million/","Late Stage Venture","recbtamsfIORUNxBt","","","","","","","","","","","","","","","recdj7iXjiRgvJ2nI","Strategic","↗","https://www.he360.com/hawkeye-360-adds-leidos-as-investor-to-bring-series-d-round-to-150-million/","recVXgbGCCmryjUeM","recbNSQvv1IdUAXMq","recbNSQvv1IdUAXMq","recVXgbGCCmryjUeM",""
"rec8DISUA5aRAsXch","2025-03-18T23:05:42.000Z","Rocket Lab – Series E","2018-11-15","140000000","https://www.rocketlabusa.com/updates/rocket-lab-announces-140-million-in-new-funding/","","recr90tPBNYLRWUR2","rec9k8bbbEZzTqSds","rec28VES0eiWren0e","recg43qSL3iEwNxIn","recBueZ4mm4y0iwV2","recxkbWbIQUW3MfSt","recdvmwPepXJLMh0I","","","","","","","","","recOzrWsldJfiMCr4","Series E","↗","https://www.rocketlabusa.com/updates/rocket-lab-announces-140-million-in-new-funding/","recVXgbGCCmryjUeM","recysV1dDK9D0NT31","recysV1dDK9D0NT31","recVXgbGCCmryjUeM",""
"rec8Dw5L65Wk4FFQL","2025-03-19T20:14:31.000Z","Impulse Space – Series B","2024-10-01","150000000","https://www.impulsespace.com/updates/impulse-space-secures-dollar150m-in-series-b-funding-to-support-ongoing-company-momentum","Early Stage Venture","recGzauRoov9AeqdU","recgwY9lunJDGn48A","recV7h07hGENETEvE","recI2OZMYPxqbI66I","recdtewg4DkNpVFPR","recdlWlhuUCehKFEH","recqZgmp5cnUMGTWL","rechnturEBzk5jlLb","recp1nxVLWk7LfBKN","recROajWA8lFFr0HG","reccWAeZjgUieVIFt","rechSRfDcud0DhEN4","recvFdOT7vcd1W3Uh","recdVQavkBoIL34zG","recd2I4tg1ZvVcB7c","rec1N9LDpw5Qub0QG","Series B","↗","https://www.impulsespace.com/updates/impulse-space-secures-dollar150m-in-series-b-funding-to-support-ongoing-company-momentum","recVXgbGCCmryjUeM","recysV1dDK9D0NT31","recysV1dDK9D0NT31","recVXgbGCCmryjUeM",""
